Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,3,190,7,Some Random Commen with Id 0
1,1,3,25,7,Some Random Commen with Id 1
2,1,3,46,1,Some Random Commen with Id 2
3,1,3,126,8,Some Random Commen with Id 3
4,1,3,177,4,Some Random Commen with Id 4
5,1,3,184,9,Some Random Commen with Id 5
6,2,7,34,2,Some Random Commen with Id 6
7,2,7,160,8,Some Random Commen with Id 7
8,2,7,154,6,Some Random Commen with Id 8
9,2,7,106,3,Some Random Commen with Id 9
10,3,6,60,2,Some Random Commen with Id 10
11,3,6,6,6,Some Random Commen with Id 11
12,3,6,85,5,Some Random Commen with Id 12
13,4,7,186,6,Some Random Commen with Id 13
14,4,7,138,2,Some Random Commen with Id 14
15,4,7,176,5,Some Random Commen with Id 15
16,4,7,40,4,Some Random Commen with Id 16
17,4,7,154,1,Some Random Commen with Id 17
18,4,7,59,2,Some Random Commen with Id 18
19,5,7,189,6,Some Random Commen with Id 19
20,5,7,53,5,Some Random Commen with Id 20
21,6,0,88,8,Some Random Commen with Id 21
22,6,0,195,1,Some Random Commen with Id 22
23,6,0,22,2,Some Random Commen with Id 23
24,6,0,139,3,Some Random Commen with Id 24
25,6,0,91,8,Some Random Commen with Id 25
26,6,0,165,3,Some Random Commen with Id 26
27,7,2,127,1,Some Random Commen with Id 27
28,7,2,170,6,Some Random Commen with Id 28
29,7,2,70,4,Some Random Commen with Id 29
30,7,2,87,1,Some Random Commen with Id 30
31,8,8,125,3,Some Random Commen with Id 31
32,8,8,70,7,Some Random Commen with Id 32
33,8,8,152,2,Some Random Commen with Id 33
34,8,8,108,2,Some Random Commen with Id 34
35,8,8,199,5,Some Random Commen with Id 35
36,8,8,53,0,Some Random Commen with Id 36
37,8,8,174,6,Some Random Commen with Id 37
38,8,8,198,3,Some Random Commen with Id 38
39,10,2,160,2,Some Random Commen with Id 39
40,10,2,164,7,Some Random Commen with Id 40
41,11,7,5,6,Some Random Commen with Id 41
42,11,7,84,1,Some Random Commen with Id 42
43,11,7,67,0,Some Random Commen with Id 43
44,11,7,35,5,Some Random Commen with Id 44
45,11,7,121,2,Some Random Commen with Id 45
46,11,7,83,5,Some Random Commen with Id 46
47,12,1,171,9,Some Random Commen with Id 47
48,12,1,18,0,Some Random Commen with Id 48
49,12,1,96,4,Some Random Commen with Id 49
50,12,1,93,0,Some Random Commen with Id 50
51,12,1,120,2,Some Random Commen with Id 51
52,12,1,107,1,Some Random Commen with Id 52
53,12,1,25,8,Some Random Commen with Id 53
54,14,3,105,4,Some Random Commen with Id 54
55,14,3,52,4,Some Random Commen with Id 55
56,14,3,112,4,Some Random Commen with Id 56
57,14,3,194,5,Some Random Commen with Id 57
58,14,3,161,4,Some Random Commen with Id 58
59,14,3,155,9,Some Random Commen with Id 59
60,14,3,15,4,Some Random Commen with Id 60
61,14,3,152,7,Some Random Commen with Id 61
62,15,7,48,4,Some Random Commen with Id 62
63,15,7,42,2,Some Random Commen with Id 63
64,15,7,9,3,Some Random Commen with Id 64
65,15,7,0,0,Some Random Commen with Id 65
66,17,6,154,7,Some Random Commen with Id 66
67,17,6,61,7,Some Random Commen with Id 67
68,17,6,140,3,Some Random Commen with Id 68
69,17,6,71,1,Some Random Commen with Id 69
70,17,6,53,8,Some Random Commen with Id 70
71,18,5,155,5,Some Random Commen with Id 71
72,18,5,173,6,Some Random Commen with Id 72
73,18,5,194,5,Some Random Commen with Id 73
74,18,5,171,2,Some Random Commen with Id 74
75,18,5,161,2,Some Random Commen with Id 75
76,18,5,195,1,Some Random Commen with Id 76
77,18,5,183,3,Some Random Commen with Id 77
78,18,5,152,8,Some Random Commen with Id 78
79,19,7,115,3,Some Random Commen with Id 79
80,19,7,41,2,Some Random Commen with Id 80
81,19,7,109,7,Some Random Commen with Id 81
82,19,7,120,2,Some Random Commen with Id 82
83,19,7,138,8,Some Random Commen with Id 83
84,19,7,96,8,Some Random Commen with Id 84
85,19,7,50,0,Some Random Commen with Id 85
86,20,7,194,7,Some Random Commen with Id 86
87,20,7,182,9,Some Random Commen with Id 87
88,20,7,55,8,Some Random Commen with Id 88
89,20,7,17,3,Some Random Commen with Id 89
90,20,7,138,4,Some Random Commen with Id 90
91,20,7,144,3,Some Random Commen with Id 91
92,20,7,87,3,Some Random Commen with Id 92
93,20,7,109,5,Some Random Commen with Id 93
94,21,2,115,1,Some Random Commen with Id 94
95,21,2,190,0,Some Random Commen with Id 95
96,21,2,108,1,Some Random Commen with Id 96
97,21,2,183,6,Some Random Commen with Id 97
98,21,2,23,2,Some Random Commen with Id 98
99,21,2,163,9,Some Random Commen with Id 99
100,21,2,199,1,Some Random Commen with Id 100
101,21,2,144,2,Some Random Commen with Id 101
102,21,2,7,2,Some Random Commen with Id 102
103,22,2,34,5,Some Random Commen with Id 103
104,22,2,109,9,Some Random Commen with Id 104
105,23,7,66,9,Some Random Commen with Id 105
106,23,7,137,1,Some Random Commen with Id 106
107,23,7,17,4,Some Random Commen with Id 107
108,23,7,28,9,Some Random Commen with Id 108
109,23,7,28,6,Some Random Commen with Id 109
110,23,7,139,0,Some Random Commen with Id 110
111,25,3,49,5,Some Random Commen with Id 111
112,25,3,170,3,Some Random Commen with Id 112
113,25,3,101,4,Some Random Commen with Id 113
114,25,3,2,6,Some Random Commen with Id 114
115,25,3,91,8,Some Random Commen with Id 115
116,25,3,41,8,Some Random Commen with Id 116
117,25,3,103,1,Some Random Commen with Id 117
118,25,3,112,6,Some Random Commen with Id 118
119,25,3,45,4,Some Random Commen with Id 119
120,26,6,2,8,Some Random Commen with Id 120
121,26,6,161,9,Some Random Commen with Id 121
122,26,6,98,9,Some Random Commen with Id 122
123,26,6,147,1,Some Random Commen with Id 123
124,26,6,99,4,Some Random Commen with Id 124
125,26,6,43,6,Some Random Commen with Id 125
126,26,6,193,0,Some Random Commen with Id 126
127,27,6,43,8,Some Random Commen with Id 127
128,27,6,50,9,Some Random Commen with Id 128
129,27,6,75,8,Some Random Commen with Id 129
130,27,6,17,3,Some Random Commen with Id 130
131,27,6,107,3,Some Random Commen with Id 131
132,27,6,184,4,Some Random Commen with Id 132
133,27,6,187,0,Some Random Commen with Id 133
134,28,3,191,0,Some Random Commen with Id 134
135,28,3,101,1,Some Random Commen with Id 135
136,28,3,164,6,Some Random Commen with Id 136
137,28,3,62,7,Some Random Commen with Id 137
138,28,3,75,9,Some Random Commen with Id 138
139,29,7,150,3,Some Random Commen with Id 139
140,29,7,103,1,Some Random Commen with Id 140
141,29,7,24,1,Some Random Commen with Id 141
142,30,2,170,7,Some Random Commen with Id 142
143,30,2,128,4,Some Random Commen with Id 143
144,30,2,15,8,Some Random Commen with Id 144
145,30,2,194,1,Some Random Commen with Id 145
146,30,2,120,7,Some Random Commen with Id 146
147,30,2,46,1,Some Random Commen with Id 147
148,30,2,60,7,Some Random Commen with Id 148
149,31,8,55,5,Some Random Commen with Id 149
150,31,8,80,2,Some Random Commen with Id 150
151,31,8,36,6,Some Random Commen with Id 151
152,31,8,80,1,Some Random Commen with Id 152
153,31,8,165,0,Some Random Commen with Id 153
154,31,8,160,3,Some Random Commen with Id 154
155,32,3,145,6,Some Random Commen with Id 155
156,32,3,26,1,Some Random Commen with Id 156
157,32,3,96,8,Some Random Commen with Id 157
158,32,3,102,4,Some Random Commen with Id 158
159,32,3,178,1,Some Random Commen with Id 159
160,32,3,58,4,Some Random Commen with Id 160
161,32,3,53,1,Some Random Commen with Id 161
162,33,9,122,7,Some Random Commen with Id 162
163,33,9,167,8,Some Random Commen with Id 163
164,33,9,79,6,Some Random Commen with Id 164
165,33,9,42,2,Some Random Commen with Id 165
166,33,9,9,1,Some Random Commen with Id 166
167,33,9,138,8,Some Random Commen with Id 167
168,33,9,30,0,Some Random Commen with Id 168
169,33,9,51,3,Some Random Commen with Id 169
170,34,8,130,0,Some Random Commen with Id 170
171,34,8,198,9,Some Random Commen with Id 171
172,35,8,181,4,Some Random Commen with Id 172
173,35,8,130,3,Some Random Commen with Id 173
